EOM Date,Fund 1,Fund 2,Market Beta,Value,Size,High-Yield Spread,Term Spread,Momentum,Bid-Ask Spread
16-Apr,2.07%,-0.84%,1.38%,1.66%,0.93%,3.41%,-0.58%,-1.36%,-4.77%
16-May,1.36%,1.85%,0.23%,-0.98%,0.62%,0.85%,0.94%,0.20%,5.68%
16-Jun,-2.53%,-1.93%,-1.28%,-0.32%,-0.98%,-0.89%,5.79%,-1.75%,6.36%
16-Jul,3.36%,0.65%,4.15%,-1.03%,1.31%,1.54%,2.17%,0.76%,1.36%
16-Aug,1.33%,-2.73%,-0.13%,1.60%,-0.03%,2.23%,-0.78%,1.34%,-9.43%
16-Sep,1.91%,-1.02%,0.36%,-0.67%,0.90%,1.04%,-1.83%,0.59%,-1.13%
16-Oct,1.17%,-4.70%,-2.01%,2.26%,-1.91%,1.39%,-3.97%,-0.22%,1.99%
16-Nov,5.24%,-0.68%,1.25%,2.51%,2.58%,2.47%,-7.11%,-1.39%,2.09%
16-Dec,0.85%,1.03%,2.29%,2.06%,-0.29%,1.70%,-0.56%,1.40%,3.51%
17-Jan,4.15%,2.20%,2.35%,-2.28%,0.01%,1.20%,0.27%,0.54%,-8.66%
17-Feb,1.60%,1.19%,2.58%,-1.06%,-0.33%,0.37%,1.14%,2.16%,-9.17%
